seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
4414,2026.07.22 13:21:00,2026.07.22 15:51:00,SKIP,XAUUSD,M3,813,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4117.87,4117.70,4117.90,4117.37,4117.48,-0.069,2.85,26.87,55.85,51.07,0.07,-0.26,0.33,4116.00,4119.87,937,826,100.0,0.0,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4415,2026.07.22 13:45:00,2026.07.22 16:15:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4117.85,4117.95,4118.01,4118.02,4118.02,-0.032,1.98,28.52,47.38,48.22,-0.00,0.24,-0.25,4116.06,4117.17,511,740,14.3,71.4,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4416,2026.07.22 13:51:00,2026.07.22 16:21:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4118.17,4118.07,4118.05,4117.69,4117.86,0.006,1.96,26.26,56.72,53.05,0.11,0.21,-0.10,4116.07,4120.07,749,745,85.7,14.3,6,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4417,2026.07.22 14:00:00,2026.07.22 16:30:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4117.94,4117.98,4118.02,4118.03,4118.02,-0.019,2.00,24.29,48.76,49.12,0.01,0.09,-0.08,4116.09,4117.60,553,705,14.3,57.1,6,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4418,2026.07.22 14:15:00,2026.07.22 16:45:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4118.00,4117.93,4117.97,4117.67,4117.79,-0.021,2.01,25.41,54.92,54.13,0.04,-0.02,0.07,4116.11,4119.32,648,694,85.7,0.0,8,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4419,2026.07.22 14:45:00,2026.07.22 17:15:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4118.04,4118.37,4118.29,4118.73,4118.68,0.030,2.66,20.64,40.78,41.77,-0.13,0.40,-0.53,4116.18,4115.27,1981,751,0.0,85.7,10,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4420,2026.07.22 14:54:00,2026.07.22 17:24:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4118.59,4118.57,4118.39,4118.44,4118.50,0.062,2.86,20.06,51.95,54.30,0.08,0.19,-0.11,4116.21,4119.19,920,797,57.1,28.6,5,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4421,2026.07.22 15:54:00,2026.07.22 18:24:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4123.58,4124.19,4122.36,4125.10,4124.86,0.520,3.52,37.25,36.40,43.40,0.27,2.10,-1.83,4116.94,4117.52,1016,1059,14.3,71.4,6,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4422,2026.07.22 16:21:00,2026.07.22 18:51:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4123.56,4122.88,4121.99,4122.13,4122.25,0.192,4.64,33.55,61.18,60.69,0.38,-0.93,1.31,4117.04,4129.26,1512,1344,100.0,0.0,9,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
4423,2026.07.22 19:18:00,2026.07.22 21:48:00,SKIP,XAUUSD,M3,813,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4156.61,4156.84,4152.08,4157.37,4157.17,1.459,3.26,23.48,44.68,52.29,0.72,2.24,-1.52,4125.40,4153.57,1034,1085,28.6,42.9,11,1,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,22718.74,22718.74,outside the entry window
