seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
2620,2026.04.07 15:51:00,2026.04.07 18:21:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4657.42,4658.12,4659.17,4659.78,4659.13,-0.178,5.93,30.77,36.56,40.61,-0.18,1.35,-1.53,4654.80,4647.97,606,554,0.0,100.0,8,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2621,2026.04.07 16:27:00,2026.04.07 18:57:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4656.64,4656.55,4657.77,4655.57,4656.12,-0.210,5.83,18.75,55.84,51.91,-0.20,-0.87,0.68,4654.81,4660.90,626,596,85.7,0.0,10,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2622,2026.04.07 16:33:00,2026.04.07 19:03:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4655.57,4656.10,4657.49,4656.95,4656.71,-0.222,6.27,16.15,42.29,50.71,-0.58,-0.70,0.12,4654.82,4650.02,769,621,28.6,57.1,10,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2623,2026.04.07 17:36:00,2026.04.07 20:06:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4641.06,4640.20,4646.00,4637.44,4638.67,-0.528,10.98,27.07,60.05,54.10,-1.43,-6.43,4.99,4653.05,4655.54,816,805,100.0,0.0,10,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2624,2026.04.07 18:00:00,2026.04.07 20:30:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4642.52,4642.64,4645.91,4644.82,4643.57,-0.347,9.42,24.02,42.36,43.75,-0.35,0.55,-0.90,4652.86,4633.35,739,794,0.0,71.4,11,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2625,2026.04.07 18:21:00,2026.04.07 20:51:00,SKIP,XAUUSD,M3,645,FLAT,NA,EVENING,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4642.41,4641.51,4644.32,4640.07,4640.48,-0.332,8.47,26.76,57.93,53.75,0.10,-1.21,1.31,4652.41,4651.74,766,773,71.4,14.3,5,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2626,2026.04.07 21:54:00,2026.04.08 00:24:00,SKIP,XAUUSD,M3,645,FLAT,NA,DAY,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4676.07,4676.76,4671.25,4678.31,4677.72,1.211,4.55,23.84,38.14,52.23,0.82,3.21,-2.39,4654.79,4667.15,620,520,28.6,57.1,5,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2627,2026.04.07 22:21:00,2026.04.08 00:51:00,SKIP,XAUUSD,M3,645,FLAT,NA,DAY,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4674.43,4673.42,4670.77,4667.76,4670.65,0.347,7.66,29.19,71.17,63.57,0.39,-1.87,2.26,4655.16,4701.13,859,601,100.0,0.0,8,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,daily loss cap reached
2628,2026.04.08 01:00:01,2026.04.08 03:30:01,DAY_SUMMARY,XAUUSD,M3,645,FLAT,NA,DAY,643,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.97,-273.69,4709.34,4706.22,4696.04,4710.24,4706.27,1.587,6.42,22.35,51.51,59.67,4.52,5.88,-1.36,4658.75,4705.73,270,475,57.1,14.3,12,0,CROSS=EMA9>EMA21;TREND=1;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,27873.22,27873.22,2026.04.07 trades=3 W=0 L=3 gross_profit=0.00 gross_loss=273.69 net=-273.69 PF=0.00
2629,2026.04.08 03:45:00,2026.04.08 06:15:00,ENTRY,XAUUSD,M3,647,SELL,FULLTGT,DAY,0,4813.79,4832.65,4832.65,18.86,1.00,18.86,4794.93,4776.06,4757.20,4738.34,4719.48,0.07,0.07,0.07,4813.79,0.00,0.00,0.00,4820.48,4820.88,4800.39,4822.15,4821.59,2.172,9.43,37.69,46.89,55.32,3.25,7.99,-4.74,4799.07,4813.78,498,650,28.6,57.1,12,0,CROSS=EMA9<EMA21;TREND=1;STRUCT=1;VOL=1;COOL=1;EMA50=0;VWAP=0;BIAS=1,0.00,0.00,27872.97,27872.13,KZ=ASIA; KZR=Asia H @ 4800.40 36 bars ago (high taken); DAY 12AM-4PM IST session: stop x1.00 of usual; no partials; full size to TP5; SL steps BE->TP1->TP2->TP3
