seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
3414,2026.08.04 11:30:00,2026.08.04 14:00:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4065.13,4065.21,4063.96,4065.55,4065.39,0.465,2.69,32.85,45.63,48.52,0.34,1.24,-0.90,4058.86,4063.43,813,900,14.3,71.4,5,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3415,2026.08.04 13:45:00,2026.08.04 16:15:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4050.04,4049.93,4052.59,4049.37,4049.65,-1.156,2.30,18.34,57.58,51.21,-0.46,-1.25,0.78,4057.76,4052.74,1750,524,71.4,14.3,11,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3416,2026.08.04 16:09:00,2026.08.04 18:39:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4069.69,4070.44,4066.52,4071.11,4071.08,0.808,4.85,39.88,41.14,46.41,0.59,3.14,-2.55,4061.11,4064.02,1811,1707,28.6,71.4,7,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3417,2026.08.04 16:24:00,2026.08.04 18:54:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4071.89,4070.81,4067.29,4067.95,4069.12,0.626,5.62,37.99,69.57,46.12,1.20,0.75,0.45,4061.61,4087.66,4816,1815,85.7,14.3,10,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3418,2026.08.04 17:39:00,2026.08.04 20:09:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4082.68,4083.05,4078.37,4083.92,4083.58,0.895,5.23,18.75,43.80,48.91,0.80,2.61,-1.82,4066.32,4077.75,3359,2476,14.3,71.4,10,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3419,2026.08.04 18:12:00,2026.08.04 20:42:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4082.53,4082.46,4079.64,4081.86,4082.18,0.599,4.70,17.37,55.79,56.15,0.28,0.10,0.18,4066.99,4085.23,1327,1865,71.4,0.0,8,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3420,2026.08.04 18:18:00,2026.08.04 20:48:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4081.78,4082.15,4079.73,4082.86,4082.61,0.587,4.12,18.21,42.56,54.87,-0.06,0.14,-0.20,4067.12,4077.49,1479,1787,28.6,42.9,10,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3421,2026.08.04 18:45:00,2026.08.04 21:15:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4081.56,4081.23,4079.84,4080.93,4080.94,0.385,3.60,21.34,55.54,55.14,0.10,-0.72,0.81,4067.74,4084.10,1539,1623,71.4,0.0,5,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3422,2026.08.04 20:54:00,2026.08.04 23:24:00,SKIP,XAUUSD,M3,92,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4094.01,4094.21,4090.84,4094.93,4094.60,1.291,2.61,20.65,42.14,53.76,0.66,1.94,-1.27,4070.59,4090.31,924,1199,28.6,42.9,6,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=0;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,outside the entry window
3423,2026.08.05 01:30:00,2026.08.05 04:00:00,SKIP,XAUUSD,M3,92,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4077.66,4077.61,4079.14,4077.12,4077.39,-0.868,1.76,17.92,58.91,53.21,-0.23,-0.52,0.30,4077.57,4079.80,572,337,85.7,0.0,12,1,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=1;BIAS=1,0.00,0.00,24910.80,24910.80,quality filter
