run,period,filters,trades,net,pf,payoff,dd,dd_pct,win_pct,avg_win,avg_loss,sharpe,folder
W_sl2p5_L5_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,449,689.75,1.05,1.54,1 864.40 (32.46%),32.46,23.39,128.39,-37.18,0.79,results_best_M5
W_sl2p5_L5,M5 (2026.01.01 - 2026.09.18),none,686,684.55,1.04,1.0,2 821.50 (40.87%),40.87,23.18,123.37,-35.92,0.58,results_best_M5
REF_E3_ladder8R,M5 (2026.01.01 - 2026.09.18),none,772,539.3,1.04,0.7,2 234.75 (30.39%),30.39,24.48,71.31,-22.19,0.7,results_best_M5
W_sl3p0_L5,M5 (2026.01.01 - 2026.09.18),none,686,526.46,1.03,0.77,3 058.28 (41.97%),41.97,23.62,132.55,-39.98,0.37,results_best_M5
W_sl3p0_L5_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,790,344.3,1.02,0.44,2 657.60 (44.59%),44.59,25.19,93.96,-31.06,0.32,results_best_M3
W_sl2p5_L8,M5 (2026.01.01 - 2026.09.18),none,688,332.66,1.02,0.48,2 853.16 (41.78%),41.78,23.26,120.4,-35.86,0.23,results_best_M5
W_sl3p0_L8_ema50,M3 (2026.01.01 - 2026.09.18),Ema50,792,156.86,1.01,0.2,2 929.90 (50.13%),50.13,25.25,92.56,-31.0,0.12,results_best_M3
W_sl3p0_L8_vwap,M5 (2026.01.01 - 2026.09.18),Vwap,325,104.5,1.01,0.32,2 755.30 (39.97%),39.97,24.0,152.4,-47.7,0.1,results_best_M5
REF_D3_sl3p0,M3 (2026.01.01 - 2026.09.18),none,1240,-7.75,1.0,-0.01,2 046.30 (35.91%),35.91,23.06,76.43,-22.92,-0.01,results_best_M3
W_sl3p0_L8_ema50_t25,M5 (2026.01.01 - 2026.09.18),Ema50,405,-65.71,0.99,-0.16,1 997.50 (33.94%),33.94,25.43,122.15,-41.88,-0.06,results_best_M5
W_sl2p5_L8_ema50,M5 (2026.01.01 - 2026.09.18),Ema50,452,-119.39,0.99,-0.26,2 125.31 (39.93%),39.93,23.45,119.7,-37.02,-0.11,results_best_M5
W_sl3p0_L8,M5 (2026.01.01 - 2026.09.18),none,688,-235.77,0.99,-0.34,3 578.78 (48.37%),48.37,23.69,127.41,-40.01,-0.16,results_best_M5
W_sl3p0_L8_ema50_t25,M3 (2026.01.01 - 2026.09.18),Ema50,708,-330.94,0.98,-0.47,3 103.60 (55.98%),55.98,25.71,91.14,-32.16,-0.27,results_best_M3
