seq,time_server,time_ist,event,symbol,tf,trade_id,direction,exit_mode,ist_session,flip_from,entry_price,init_sl,cur_sl,sl_distance,sl_factor,tp_unit,tp1,tp2,tp3,tp4,tp5,lots_initial,lots_event,lots_remaining,event_price,r_target,r_realized,profit,ema9,ema21,ema50,ema9_prev,ema21_prev,ema21_50_gap_atr,atr,adx,rsi,rsi_m5,macd_main,macd_signal,macd_hist,vwap,close,volume,vol_avg,bull_pct,bear_pct,spread_pts,qfilter_on,qf_flags,mfe_r,mae_r,balance,equity,note
1116,2026.05.08 07:20:00,2026.05.08 09:50:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4718.67,4718.85,4715.41,4719.33,4719.13,0.773,4.45,20.37,46.85,46.85,0.64,1.99,-1.35,4709.63,4716.00,1161,1708,14.3,57.1,12,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the killzone window
1117,2026.05.08 08:35:00,2026.05.08 11:05:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4717.11,4716.63,4715.48,4715.32,4715.87,0.255,4.50,23.22,61.53,61.53,0.13,-0.94,1.07,4710.37,4724.30,3385,1386,85.7,0.0,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 181 bars ago > 6
1118,2026.05.08 10:15:00,2026.05.08 12:45:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4723.40,4723.82,4721.09,4725.40,4724.66,0.488,5.59,26.05,38.63,38.63,0.50,2.22,-1.72,4714.01,4715.40,2509,2609,14.3,71.4,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,killzone range: last sweep 9 bars ago > 6
1119,2026.05.08 11:40:00,2026.05.08 14:10:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4716.45,4716.05,4717.16,4715.20,4715.51,-0.225,4.93,36.99,57.49,57.49,-0.50,-2.49,2.00,4713.56,4721.45,1581,2619,85.7,0.0,5,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1120,2026.05.08 12:40:00,2026.05.08 15:10:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4716.77,4716.84,4717.23,4717.63,4717.19,-0.085,4.55,22.13,44.21,44.21,-0.07,0.21,-0.28,4713.82,4713.37,1661,1902,0.0,71.4,8,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1121,2026.05.08 13:25:00,2026.05.08 15:55:00,SKIP,XAUUSD,M5,4,FLAT,NA,DAY,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4716.45,4715.95,4716.50,4715.19,4715.40,-0.120,4.58,26.11,59.42,59.42,0.10,-0.80,0.90,4713.81,4721.49,987,1481,85.7,0.0,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1122,2026.05.08 15:00:00,2026.05.08 17:30:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4720.09,4720.39,4719.28,4720.67,4720.66,0.260,4.27,21.62,45.36,45.36,0.26,1.39,-1.13,4714.57,4717.76,1836,1582,28.6,57.1,10,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1123,2026.05.08 15:45:00,2026.05.08 18:15:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4717.76,4717.50,4717.84,4716.22,4716.86,-0.050,6.78,29.27,57.74,57.74,-0.24,-1.67,1.43,4714.68,4723.93,4811,2503,85.7,14.3,6,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1124,2026.05.08 17:35:00,2026.05.08 20:05:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4727.90,4728.45,4725.08,4729.32,4729.07,0.359,9.40,29.39,44.98,44.98,0.88,4.06,-3.18,4718.26,4722.23,5623,4935,28.6,71.4,9,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
1125,2026.05.08 20:15:00,2026.05.08 22:45:00,SKIP,XAUUSD,M5,4,FLAT,NA,EVENING,0,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4714.19,4714.10,4716.41,4713.90,4713.97,-0.659,3.51,15.48,51.37,51.37,-0.53,-1.07,0.54,4717.32,4715.32,1879,2594,57.1,14.3,11,0,CROSS=EMA9>EMA21;TREND=0;STRUCT=1;VOL=1;COOL=1;EMA50=1;VWAP=0;BIAS=1,0.00,0.00,24755.49,24755.49,outside the entry window
